player,position,age,club,league,market_value,appearances,goals,assists,yellow_cards,red_cards,minutes,club_id,logo_url
Gianluigi Donnarumma,Goalkeeper,27,Manchester City,EPL,45000000.0,40.0,0.0,0.0,9.0,0.0,3600.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
James Trafford,Goalkeeper,23,Manchester City,EPL,25000000.0,15.0,0.0,0.0,0.0,0.0,1350.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Marcus Bettinelli,Goalkeeper,33,Manchester City,EPL,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Josko Gvardiol,Centre-Back,24,Manchester City,EPL,70000000.0,23.0,2.0,5.0,2.0,0.0,1796.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Marc Guéhi,Centre-Back,25,Manchester City,EPL,65000000.0,49.0,5.0,5.0,9.0,0.0,4162.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Rúben Dias,Centre-Back,29,Manchester City,EPL,60000000.0,32.0,2.0,0.0,4.0,0.0,2556.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Abdukodir Khusanov,Centre-Back,22,Manchester City,EPL,35000000.0,34.0,0.0,0.0,5.0,0.0,2547.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
John Stones,Centre-Back,31,Manchester City,EPL,15000000.0,16.0,0.0,0.0,0.0,0.0,1058.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Nathan Aké,Centre-Back,31,Manchester City,EPL,15000000.0,29.0,0.0,0.0,1.0,0.0,1445.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Max Alleyne,Centre-Back,20,Manchester City,EPL,8000000.0,7.0,1.0,0.0,0.0,0.0,446.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Nico O'Reilly,Left-Back,21,Manchester City,EPL,50000000.0,50.0,9.0,6.0,7.0,0.0,3774.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Rayan Aït-Nouri,Left-Back,24,Manchester City,EPL,40000000.0,26.0,0.0,5.0,4.0,0.0,1502.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
Matheus Nunes,Right-Back,27,Manchester City,EPL,45000000.0,45.0,1.0,9.0,7.0,0.0,3687.0,281,https://tmssl.akamaized.net/images/wappen/medium/281.png
